id,step,claim,source,source_type,source_date,retrieved_date,evidence_level,supports_or_contradicts,related_company,related_chain_node,summary,url,confidence,needs_follow_up
E001,002_demand,Blackwell/GB200 NVL72 makes liquid cooling part of high-density AI rack architecture,NVIDIA GB200 NVL72 technical blog,OEM technical source,2024,2026-06-03,high,supports,,platform_demand,GB200 compute tray with liquid cooling supports power-efficient rack-scale compute density,https://developer.nvidia.com/blog/nvidia-gb200-nvl72-delivers-trillion-parameter-llm-training-and-real-time-inference/,high,no
E002,002_demand,NVIDIA contributed GB200 NVL72 liquid-cooled rack and tray designs to OCP,NVIDIA OCP technical blog,OEM/open-standard source,2024,2026-06-03,high,supports,,standardization,NVIDIA contribution includes liquid-cooled rack and compute/switch tray designs,https://developer.nvidia.com/blog/?p=90182,high,no
E003,002_demand,Blackwell design contribution includes liquid-cooling and thermal environment specifications,NVIDIA Newsroom,OEM official source,2024,2026-06-03,high,supports,,standardization,Open hardware contribution helps spread liquid-cooling standards but may also reduce proprietary margin,https://nvidianews.nvidia.com/news/nvidia-contributes-blackwell-platform-design-to-open-hardware-ecosystem-accelerating-ai-infrastructure-innovation/,high,no
E004,003_supply,Cold plate and microchannel design affect hotspot control and pressure-drop tradeoffs,Glacierware arXiv,academic,2024,2026-06-03,medium,supports,,cold_plate,Hotspot-aware microfluidic design is a genuine engineering constraint rather than a simple commodity narrative,https://arxiv.org/abs/2408.15024,medium,no
E005,003_supply,Direct-to-chip cooling design for GB200-class systems is complex enough for generative design optimization,Generative Design for Direct-to-Chip Liquid Cooling,academic,2026,2026-06-03,medium,supports,,cold_plate,GB200-targeted design paper supports high design complexity and optimization demand,https://arxiv.org/abs/2604.10941,medium,no
E006,004_targets,川环科技 has batch supply and customer verification evidence for liquid-cooling server tube products,证券时报,media_filing_digest,2025,2026-06-03,medium,supports,川环科技,liquid_cooling_tubes,Report says tube products for a liquid-cooling server customer passed verification and had batch supply; V0/UL and supplier-system entry are also cited,https://stcn.com/article/detail/3091482.html,medium,yes
E007,004_targets,川环科技 has public order/news flow for server liquid-cooling tube systems,华尔街见闻,media,2024,2026-06-03,medium,supports,川环科技,liquid_cooling_tubes,60000-set order report supports order-level traction but requires announcement-level confirmation,https://wallstreetcn.com/articles/3737821,medium,yes
E008,004_targets,中航光电 has filing-level liquid-cooling product disclosure,中航光电 2024 年报,company_filing,2025,2026-06-03,high,supports,中航光电,fluid_connector_cold_plate_tube,Annual report product table includes fluid connectors, tube assemblies, cold plates, liquid cooling sources and use in data centers,https://pdf.dfcfw.com/pdf/H2_AN202503281648753204_1.pdf,high,no
E009,004_targets,中航光电 liquid-cooling chain covers cold plate, fluid connector, manifold and CDU,通信世界网,industry_media,2024,2026-06-03,medium,supports,中航光电,integrated_liquid_cooling_components,Industry article lists multiple products and long R&D history; use as supplement to filing,https://www.cww.net.cn/article?id=590260,medium,no
E010,004_targets,大元泵业 is relevant to liquid-cooling pumps but data-center-specific revenue share may be very small,每日经济新闻,media_company_interview,2025,2026-06-03,medium,contradicts,大元泵业,liquid_cooling_pump,Reported 2025Q1 identifiable direct data-center liquid-cooling product revenue was about CNY 1.6m or 0.43% of revenue,https://www.nbd.com.cn/articles/2025-08-26/4030074.html,medium,yes
E011,004_targets,瑞可达 has connector capability but data-center liquid-cooling exposure still needs stronger proof,瑞可达 2024 年报,company_filing,2025,2026-06-03,medium,partially_supports,瑞可达,connector,Annual report supports connector capability, but stronger data-center UQD evidence needs later filing/announcement confirmation,https://static.cninfo.com.cn/finalpage/2025-04-15/1223095502.PDF,medium,yes
E012,006_pricing,Market has already repriced several liquid-cooling names heavily,Tushare market snapshot,structured_data,2026-06-02,2026-06-03,high,supports,多公司,market_expectations,华丰科技/大元泵业/瑞可达/科创新源等 12m returns and valuation levels indicate valuation-gated or expectations-heavy status,../market_data/price_snapshot.csv,high,no
