id,step,claim,source,source_type,source_date,retrieved_date,evidence_level,supports_or_contradicts,related_company,related_chain_node,summary,url,confidence,needs_follow_up
E001,002,AI 数据中心用电需求真实增长,IEA Energy and AI,official_report,2025,2026-06-03,B,supports,,demand,"IEA 预计数据中心用电到 2030 年明显增长，AI 加速服务器是重要增量。",https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,high,track annual forecast updates
E002,002,数据中心建设受电力容量和交付周期约束,CBRE Global Data Center Trends,research_report,2025,2026-06-03,B,supports,,demand_supply,"CBRE 指出电力容量约束推动预租并延长建设时间。",https://www.cbre.com/insights/reports/global-data-center-trends-2025,high,track power availability and lease pricing
E003,002,北美数据中心电力可得性是核心选址因素,CBRE North America H1 2025,research_report,2025,2026-06-03,B,supports,,demand_supply,"CBRE 指出 74.3% 在建容量已预租，电力可得性和交付周期是关键因素。",https://www.cbre.com/insights/reports/north-america-data-center-trends-h1-2025,high,track equipment lead times
E004,002,国内政策推动算力电力协同,国家数据局,official_policy,2025-03-18,2026-06-03,B,supports,,policy,"国家数据局强调算电协同、绿电供给和枢纽节点数据中心绿色化。",https://www.nda.gov.cn/sjj/swdt/sjdt/0318/20250318212051776584737_pc.html,high,track policy implementation
E005,004,金盘科技产品覆盖数据中心并推进数据中心电源模块,金盘科技 2025 半年度报告,company_report,2025-08-29,2026-06-03,A,supports,金盘科技,targets,"公司披露积极布局数据中心，并推进变压器、数据中心电源模块等产品。",https://dataclouds.cninfo.com.cn/shgonggao/2025/2025-08-29/a9d9415e840011f0beb4fa163e957f7a.pdf,medium_high,verify order and revenue split
E006,004,明阳电气数据中心业务取得订单进展,明阳电气 2025 半年度报告,company_report,2025-08-28,2026-06-03,A,supports,明阳电气,targets,"公司披露数据中心业务是主要发展方向之一，并已取得一定量和订单进展。",https://static.cninfo.com.cn/finalpage/2025-08-28/1224586781.PDF,medium_high,verify order amount and margin
E007,004,科士达数据中心收入占比较高,科士达 2024 年年度报告,company_report,2025-04-25,2026-06-03,A,supports,科士达,targets,"公司 2024 年报披露数据中心行业收入及智慧电源、数据中心产品收入占比较高。",https://static.cninfo.com.cn/finalpage/2025-04-25/1223277009.PDF,high,refresh with 2025 annual report
E008,004,科华数据高密 UPS/HVDC 产品适配 AI 场景,科华数据官网 2025 年报专题,company_website,2026,2026-06-03,A,supports,科华数据,targets,"公司披露 200kW 高密 UPS、1.2MW UPS、HVDC 等产品。",https://www.kehua.com.cn/news/detail_two/2049663695355588609,medium_high,verify revenue and certification details
E009,006,部分标的 12 个月涨幅和估值较高,Tushare,structured_market_data,2026-06-02,2026-06-03,A,supports,,pricing,"价格和估值快照显示金盘、思源、伊戈尔、中国西电、麦格米特等已明显上涨。",market_data/price_snapshot.csv,high,refresh weekly or before decision
E010,007,缺少长约预付款涨价等直接瓶颈证据,Current evidence audit,analysis,2026-06-03,2026-06-03,D,contradicts,,evidence_gap,"当前公开证据不足以把全部赛道定义为长期硬瓶颈。",reports/005_evidence_audit.md,medium,seek S-level evidence
